Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Right_Click,Web_Forwards,Label
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,14,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
0,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,8,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
0,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,8,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,1,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,1,1,8,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,8,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,1,0,0,1,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,1,0,0,1,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,1,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,6,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,6,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,14,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,8,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,1,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,9,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,10,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,7,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,5,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,7,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,8,1,0,0,0,0,1,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,1,1,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,4,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,1,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,5,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,4,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,1,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0
1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0
